Time;Position;Velocity;Acceleration;ActualTime
8,065137;1,035297;2,999908;-0,04905;638546757108476139
8,070137;1,050051;2,950858;-0,04905;638546757108536139
8,075137;1,064561;2,901808;-0,04905;638546757108586141
8,080137;1,078824;2,852757;-0,04905;638546757108646135
8,085137;1,092843;2,803707;-0,04905;638546757108706129
8,090137;1,106616;2,754657;-0,04905;638546757108756142
8,095138;1,120144;2,705607;-0,04905;638546757108806145
8,100138;1,133427;2,656557;-0,04905;638546757108866136
8,105138;1,146464;2,607507;-0,04905;638546757108866136
8,110138;1,159257;2,558457;-0,04905;638546757108916147
8,115138;1,171804;2,509407;-0,04905;638546757108976143
8,120138;1,184106;2,460357;-0,04905;638546757109026143
8,125138;1,196162;2,411307;-0,04905;638546757109086141
8,130138;1,207973;2,362257;-0,04905;638546757109136141
8,135139;1,219539;2,313206;-0,04905;638546757109196144
8,140139;1,23086;2,264156;-0,04905;638546757109256145
8,145139;1,241936;2,215106;-0,04905;638546757109316135
8,150139;1,252766;2,166056;-0,04905;638546757109316135
8,155139;1,263351;2,117006;-0,04905;638546757109366139
8,160139;1,273691;2,067956;-0,04905;638546757109416145
8,165139;1,283785;2,018906;-0,04905;638546757109476140
8,170139;1,293635;1,969856;-0,04905;638546757109536137
8,175139;1,303239;1,920806;-0,04905;638546757109586147
8,18014;1,312597;1,871756;-0,04905;638546757109636149
8,18514;1,321711;1,822706;-0,04905;638546757109686161
8,19014;1,330579;1,773656;-0,04905;638546757109746170
8,19514;1,339202;1,724606;-0,04905;638546757109806152
8,20014;1,34758;1,675556;-0,04905;638546757109866153
8,20514;1,355713;1,626506;-0,04905;638546757109866153
8,21014;1,3636;1,577456;-0,04905;638546757109916160
8,21514;1,371242;1,528406;-0,04905;638546757109976159
8,22014;1,378639;1,479356;-0,04905;638546757110026162
8,225141;1,38579;1,430306;-0,04905;638546757110086159
8,230141;1,392696;1,381256;-0,04905;638546757110136181
8,235141;1,399358;1,332206;-0,04905;638546757110196159
8,240141;1,405773;1,283156;-0,04905;638546757110246163
8,245141;1,411944;1,234106;-0,04905;638546757110306156
8,250141;1,417869;1,185056;-0,04905;638546757110366155
8,255141;1,423549;1,136006;-0,04905;638546757110366155
8,260141;1,428984;1,086956;-0,04905;638546757110426149
8,265141;1,434173;1,037906;-0,04905;638546757110486146
8,270142;1,439118;0,9888564;-0,04905;638546757110536152
8,275142;1,443817;0,9398065;-0,04905;638546757110586159
8,280142;1,448271;0,8907565;-0,04905;638546757110646155
8,285142;1,452479;0,8417065;-0,04905;638546757110706147
8,290142;1,456442;0,7926565;-0,04905;638546757110766159
8,295142;1,46016;0,7436066;-0,04905;638546757110766159
8,300142;1,463633;0,6945566;-0,04905;638546757110826140
8,305142;1,466861;0,6455066;-0,04905;638546757110876158
8,310143;1,469843;0,5964566;-0,04905;638546757110936156
