Time;Position;Velocity;Acceleration;ActualTime
48,7062;0,5007579;2,097656;0,001404194;638546765150005145
48,7112;0,5110009;2,048606;-0,04905;638546765150005145
48,7162;0,5209987;1,999556;-0,04905;638546765150065145
48,7212;0,5307512;1,950506;-0,04905;638546765150115148
48,7262;0,5402585;1,901456;-0,04905;638546765150165148
48,7312;0,5495206;1,852406;-0,04905;638546765150225141
48,73621;0,5585373;1,803356;-0,04905;638546765150275143
48,74121;0,5673088;1,754306;-0,04905;638546765150335151
48,74621;0,5758351;1,705256;-0,04905;638546765150395142
48,75121;0,5841162;1,656206;-0,04905;638546765150445143
48,75621;0,5921519;1,607156;-0,04905;638546765150505138
48,76121;0,5999424;1,558106;-0,04905;638546765150505138
48,76621;0,6074877;1,509056;-0,04905;638546765150565149
48,77121;0,6147878;1,460006;-0,04905;638546765150625151
48,77621;0,6218426;1,410956;-0,04905;638546765150685150
48,78122;0,6286521;1,361906;-0,04905;638546765150745141
48,78622;0,6352164;1,312856;-0,04905;638546765150805143
48,79122;0,6415354;1,263806;-0,04905;638546765150805143
48,79622;0,6476092;1,214756;-0,04905;638546765150865145
48,80122;0,6534377;1,165706;-0,04905;638546765150925157
48,80622;0,659021;1,116656;-0,04905;638546765150985152
48,81122;0,664359;1,067606;-0,04905;638546765151045151
48,81622;0,6694518;1,018556;-0,04905;638546765151105146
48,82122;0,6742994;0,9695065;-0,04905;638546765151105146
48,82623;0,6789016;0,9204565;-0,04905;638546765151155147
48,83123;0,6832587;0,8714066;-0,04905;638546765151215141
48,83623;0,6873704;0,8223566;-0,04905;638546765151275149
48,84123;0,691237;0,7733066;-0,04905;638546765151335142
48,84623;0,6948583;0,7242566;-0,04905;638546765151395128
48,85123;0,6982343;0,6752067;-0,04905;638546765151445138
48,85623;0,7013651;0,6261567;-0,04905;638546765151505132
48,86123;0,7042506;0,5771067;-0,04905;638546765151505132
48,86623;0,7068909;0,5280567;-0,04905;638546765151555135
48,87123;0,7092859;0,4790067;-0,04905;638546765151605147
48,87624;0,7114357;0,4299567;-0,04905;638546765151665142
48,88124;0,7133402;0,3809067;-0,04905;638546765151725141
48,88624;0,7149995;0,3318567;-0,04905;638546765151775142
48,89124;0,7164136;0,2828067;-0,04905;638546765151825163
48,89624;0,7175823;0,2337567;-0,04905;638546765151885139
48,90124;0,7185059;0,1847067;-0,04905;638546765151935140
48,90624;0,7191842;0,1356567;-0,04905;638546765151995124
48,91124;0,7196172;0,08660671;-0,04905;638546765152045138
48,91624;0,7198049;0,03755671;-0,04905;638546765152105141
48,92125;0,7197475;-0,0114933;-0,04905;638546765152105141
48,92625;0,7194448;-0,0605433;-0,04905;638546765152165129
48,93125;0,7188968;-0,1095933;-0,04905;638546765152215140
48,93625;0,7181036;-0,1586433;-0,04905;638546765152265148
48,94125;0,7170651;-0,2076933;-0,04905;638546765152315152
48,94625;0,7157814;-0,2567433;-0,04905;638546765152375134
