Time;Position;Velocity;Acceleration;ActualTime
26,2001;2,205485;-3,77994;-0,04905;638544990187171650
26,2051;2,18634;-3,82899;-0,04905;638544990187231644
26,2101;2,16695;-3,878041;-0,04905;638544990187281655
26,2151;2,147314;-3,927091;-0,04905;638544990187341643
26,22009;2,127434;-3,976141;-0,04905;638544990187391648
26,22509;2,107308;-4,025191;-0,04905;638544990187441649
26,23009;2,086936;-4,074241;-0,04905;638544990187501635
26,23509;2,06632;-4,123291;-0,04905;638544990187501635
26,24009;2,045458;-4,17234;-0,04905;638544990187551650
26,24509;2,024351;-4,22139;-0,04905;638544990187611649
26,25009;2,002999;-4,27044;-0,04905;638544990187671645
26,25509;1,981402;-4,31949;-0,04905;638544990187731643
26,26009;1,959559;-4,36854;-0,04905;638544990187781645
26,26509;1,937471;-4,41759;-0,04905;638544990187831647
26,27009;1,915138;-4,46664;-0,04905;638544990187881653
26,27509;1,892559;-4,515689;-0,04905;638544990187931658
26,28008;1,869736;-4,564739;-0,04905;638544990187991651
26,28508;1,846667;-4,613789;-0,04905;638544990188041657
26,29008;1,823352;-4,662839;-0,04905;638544990188101642
26,29508;1,799793;-4,711889;-0,04905;638544990188101642
26,30008;1,775988;-4,760939;-0,04905;638544990188151654
26,30508;1,751938;-4,809988;-0,04905;638544990188201659
26,31008;1,727643;-4,859038;-0,04905;638544990188261649
26,31508;1,703103;-4,908088;-0,04905;638544990188321656
26,32008;1,678317;-4,957138;-0,04905;638544990188381653
26,32508;1,653286;-5,006188;-0,04905;638544990188431653
26,33008;1,62801;-5,055238;-0,04905;638544990188491642
26,33508;1,602489;-5,104288;-0,04905;638544990188541654
26,34007;1,576722;-5,153337;-0,04905;638544990188601656
26,34507;1,55071;-5,202387;-0,04905;638544990188601656
26,35007;1,524453;-5,251437;-0,04905;638544990188661645
26,35507;1,49795;-5,300487;-0,04905;638544990188711649
26,36007;1,471202;-5,349537;-0,04905;638544990188771660
26,36507;1,44421;-5,398587;-0,04905;638544990188831651
26,37007;1,416971;-5,447637;-0,04905;638544990188881664
26,37507;1,389488;-5,496686;-0,04905;638544990188941655
26,38007;1,361759;-5,545736;-0,04905;638544990188991655
26,38507;1,333785;-5,594786;-0,04905;638544990189051639
26,39007;1,305566;-5,643836;-0,04905;638544990189051639
26,39507;1,277102;-5,692886;-0,04905;638544990189101644
26,40006;1,248392;-5,741936;-0,04905;638544990189151666
26,40506;1,219437;-5,790986;-0,04905;638544990189211638
26,41006;1,190237;-5,840035;-0,04905;638544990189261646
