Time;Position;Velocity;Acceleration;ActualTime
0.4749997;2.085739;9.664407;-0.04905;638544989940453448
0.4799997;2.133816;9.615356;-0.04905;638544989940509159
0.4849997;2.181648;9.566306;-0.04905;638544989940560932
0.4899997;2.229234;9.517256;-0.04905;638544989940611474
0.4949997;2.276575;9.468205;-0.04905;638544989940665587
0.4999997;2.323671;9.419155;-0.04905;638544989940665587
0.5049997;2.370521;9.370105;-0.04905;638544989940721863
0.5099997;2.417127;9.321054;-0.04905;638544989940774562
0.5149997;2.463487;9.272004;-0.04905;638544989940834558
0.5199997;2.509601;9.222954;-0.04905;638544989940887389
0.5249997;2.555471;9.173903;-0.04905;638544989940938318
0.5299997;2.601095;9.124853;-0.04905;638544989940988563
0.5349997;2.646474;9.075803;-0.04905;638544989941038875
0.5399997;2.691608;9.026752;-0.04905;638544989941090181
0.5449997;2.736496;8.977702;-0.04905;638544989941142101
0.5499997;2.78114;8.928652;-0.04905;638544989941195030
0.5549996;2.825538;8.879601;-0.04905;638544989941250018
0.5599996;2.86969;8.830551;-0.04905;638544989941310012
0.5649996;2.913598;8.781501;-0.04905;638544989941363931
0.5699996;2.95726;8.73245;-0.04905;638544989941413933
0.5749996;3.000677;8.6834;-0.04905;638544989941466165
0.5799996;3.043849;8.63435;-0.04905;638544989941466165
0.5849996;3.086775;8.585299;-0.04905;638544989941523410
0.5899996;3.129457;8.536249;-0.04905;638544989941577392
0.5949996;3.171892;8.487199;-0.04905;638544989941628716
0.5999996;3.214083;8.438148;-0.04905;638544989941683844
0.6049996;3.256029;8.389098;-0.04905;638544989941735927
0.6099996;3.297729;8.340048;-0.04905;638544989941786876
0.6149996;3.339184;8.290998;-0.04905;638544989941846865
0.6199996;3.380394;8.241947;-0.04905;638544989941898064
0.6249996;3.421358;8.192897;-0.04905;638544989941950123
0.6299996;3.462077;8.143847;-0.04905;638544989942008738
0.6349996;3.502551;8.094796;-0.04905;638544989942063834
0.6399996;3.54278;8.045746;-0.04905;638544989942113850
0.6449996;3.582764;7.996696;-0.04905;638544989942164499
0.6499996;3.622502;7.947646;-0.04905;638544989942164499
0.6549996;3.661995;7.898596;-0.04905;638544989942217417
0.6599995;3.701243;7.849546;-0.04905;638544989942267907
0.6649995;3.740245;7.800497;-0.04905;638544989942327892
0.6699995;3.779002;7.751447;-0.04905;638544989942378007
0.6749995;3.817514;7.702397;-0.04905;638544989942437999
0.6799995;3.855781;7.653347;-0.04905;638544989942492575
0.6849995;3.893803;7.604297;-0.04905;638544989942545888
0.6899995;3.931579;7.555247;-0.04905;638544989942604509
0.6949995;3.96911;7.506197;-0.04905;638544989942654785
0.6999995;4.006395;7.457148;-0.04905;638544989942714787
0.7049995;4.043436;7.408098;-0.04905;638544989942714787
0.7099995;4.080231;7.359048;-0.04905;638544989942767616
0.7149995;4.116781;7.309998;-0.04905;638544989942825480
0.7199995;4.153086;7.260948;-0.04905;638544989942882489
0.7249995;4.189146;7.211898;-0.04905;638544989942934824
0.7299995;4.22496;7.162848;-0.04905;638544989942988116
0.7349995;4.260529;7.113799;-0.04905;638544989943042268
0.7399995;4.295853;7.064749;-0.04905;638544989943100810
0.7449995;4.330931;7.015699;-0.04905;638544989943158132
0.7499995;4.365765;6.966649;-0.04905;638544989943220240
0.7549995;4.400352;6.917599;-0.04905;638544989943220240
0.7599995;4.434695;6.868549;-0.04905;638544989943274594
0.7649994;4.468793;6.819499;-0.04905;638544989943330015
0.7699994;4.502645;6.77045;-0.04905;638544989943382132
0.7749994;4.536252;6.7214;-0.04905;638544989943433506
0.7799994;4.569614;6.67235;-0.04905;638544989943483516
0.7849994;4.60273;6.6233;-0.04905;638544989943534393
0.7899994;4.635602;6.57425;-0.04905;638544989943584399
0.7949994;4.668228;6.5252;-0.04905;638544989943639616
0.7999994;4.700608;6.476151;-0.04905;638544989943694477
0.8049994;4.732744;6.427101;-0.04905;638544989943747458
0.8099994;4.764634;6.378051;-0.04905;638544989943807450
0.8149994;4.796279;6.329001;-0.04905;638544989943860839
0.8199994;4.827679;6.279951;-0.04905;638544989943917499
0.8249994;4.858833;6.230901;-0.04905;638544989943917499
0.8299994;4.889742;6.181851;-0.04905;638544989943969961
0.8349994;4.920406;6.132802;-0.04905;638544989944020520
0.8399994;4.950825;6.083752;-0.04905;638544989944071590
0.8449994;4.980999;6.034702;-0.04905;638544989944122738
0.8499994;5.010927;5.985652;-0.04905;638544989944172742
0.8549994;5.04061;5.936602;-0.04905;638544989944223311
0.8599994;5.070047;5.887552;-0.04905;638544989944275573
0.8649994;5.09924;5.838502;-0.04905;638544989944325833
0.8699993;5.128187;5.789453;-0.04905;638544989944376075
0.8749993;5.156889;5.740403;-0.04905;638544989944426075
0.8799993;5.185346;5.691353;-0.04905;638544989944479857
0.8849993;5.213557;5.642303;-0.04905;638544989944532546
0.8899993;5.241524;5.593253;-0.04905;638544989944592540
0.8949993;5.269245;5.544203;-0.04905;638544989944646052
0.8999993;5.296721;5.495153;-0.04905;638544989944702806
0.9049993;5.323951;5.446104;-0.04905;638544989944753523
0.9099993;5.350936;5.397054;-0.04905;638544989944813472
0.9149993;5.377676;5.348004;-0.04905;638544989944868307
0.9199993;5.404171;5.298954;-0.04905;638544989944868307
0.9249993;5.430421;5.249904;-0.04905;638544989944920742
0.9299993;5.456425;5.200854;-0.04905;638544989944970811
0.9349993;5.482184;5.151804;-0.04905;638544989945023322
0.9399993;5.507698;5.102755;-0.04905;638544989945082241
0.9449993;5.532967;5.053705;-0.04905;638544989945141668
0.9499993;5.55799;5.004655;-0.04905;638544989945193555
0.9549993;5.582768;4.955605;-0.04905;638544989945245506
0.9599993;5.607301;4.906555;-0.04905;638544989945295506
0.9649993;5.631588;4.857505;-0.04905;638544989945353426
0.9699993;5.655631;4.808455;-0.04905;638544989945404922
0.9749992;5.679428;4.759406;-0.04905;638544989945458215
0.9799992;5.70298;4.710356;-0.04905;638544989945514130
0.9849992;5.726286;4.661306;-0.04905;638544989945514130
0.9899992;5.749347;4.612256;-0.04905;638544989945567129
0.9949992;5.772163;4.563206;-0.04905;638544989945617135
0.9999992;5.794734;4.514156;-0.04905;638544989945669969
1.004999;5.81706;4.465106;-0.04905;638544989945727998
1.009999;5.83914;4.416057;-0.04905;638544989945780819
1.014999;5.860975;4.367007;-0.04905;638544989945834254
1.019999;5.882565;4.317957;-0.04905;638544989945884815
1.024999;5.903909;4.268907;-0.04905;638544989945939362
1.029999;5.925008;4.219857;-0.04905;638544989945995251
1.034999;5.945862;4.170807;-0.04905;638544989946047342
1.039999;5.966471;4.121758;-0.04905;638544989946101059
1.044999;5.986835;4.072708;-0.04905;638544989946151062
1.049999;6.006953;4.023658;-0.04905;638544989946207801
1.054999;6.026826;3.974608;-0.04905;638544989946259344
1.059999;6.046453;3.925558;-0.04905;638544989946321096
